Gene,ExAC No. PP2>.95 Missense,ExAC No.Frameshift,ExAC No.StopGain,ExAC No.StartLost,ExAC No.SpliceSite
CFHR3,26(10)[973],4(1)[148],7(3)[32],0(0)[0],3(1)[467]
CFHR4,51(30)[952],12(7)[30],15(9)[68],0(0)[0],5(2)[11]
CFHR5,63(33)[1407],18(5)[995],21(13)[339],0(0)[0],9(3)[169]
CGN,169(82)[7475],14(9)[25],33(21)[82],0(0)[0],9(7)[36]
CHD1L,102(54)[12821],22(11)[47],19(7)[132],1(1)[1],18(7)[164]
CHD5,63(44)[144],3(3)[3],2(2)[2],0(0)[0],1(1)[1]
CHI3L1,50(20)[397],4(3)[7],4(2)[20],0(0)[0],3(3)[3]
CHI3L2,54(35)[18813],5(4)[13],4(3)[5],1(1)[1],7(3)[47]
CHIA,65(41)[75614],7(6)[31],13(6)[356],4(2)[8],9(2)[72]
CHIT1,50(22)[37866],10(6)[1316],8(3)[40],1(1)[1],7(4)[43]
CHML,64(42)[177],6(4)[12],6(4)[9],0(0)[0],0(0)[0]
CHRM3,18(13)[33],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
CHRNB2,58(40)[555],4(3)[5],2(2)[2],0(0)[0],0(0)[0]
CHTOP,7(4)[15],0(0)[0],0(0)[0],1(0)[2],0(0)[0]
CITED4,5(3)[273],1(0)[2],1(0)[0],0(0)[0],0(0)[0]
CKS1B,5(3)[10],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
CLCA1,96(56)[1263],10(5)[31],11(7)[15],2(2)[2],3(3)[3]
CLCA2,72(41)[519],17(12)[41],22(15)[40],1(0)[2],9(8)[10]
CLCA4,101(55)[656],21(12)[156],7(5)[62],2(2)[2],11(6)[28]
CLCC1,31(20)[320],17(7)[40],3(2)[7],0(0)[0],6(5)[13]
CLCN6,72(37)[174],4(4)[4],7(6)[8],0(0)[0],2(1)[6]
CLCNKA,76(48)[495],12(6)[63],9(3)[94],0(0)[0],14(12)[25]
CLCNKB,80(40)[3126],13(7)[47],13(6)[47],2(1)[4],7(2)[17]
CLDN19,21(10)[168],1(1)[1],0(0)[0],0(0)[0],1(1)[1]
CLIC4,10(10)[10],0(0)[0],1(1)[1],0(0)[0],3(3)[3]
CLK2,29(18)[74],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
CLSPN,140(75)[33377],6(6)[6],7(6)[23],0(0)[0],2(1)[42]
CLSTN1,148(87)[2111],0(0)[0],3(2)[4],0(0)[0],4(4)[4]
CMPK1,5(5)[5],0(0)[0],2(2)[2],0(0)[0],0(0)[0]
CNIH3,15(9)[48],0(0)[0],1(0)[2],0(0)[0],1(1)[1]
CNIH4,14(9)[29],3(2)[4],2(1)[3],0(0)[0],1(1)[1]
CNKSR1,52(28)[209],18(7)[4221],19(7)[231],0(0)[0],12(8)[362]
CNN3,6(4)[17],2(2)[2],1(1)[1],0(0)[0],0(0)[0]
CNR2,27(17)[75],4(3)[16],6(2)[55],0(0)[0],0(0)[0]
CNST,46(23)[793],4(4)[4],1(1)[1],0(0)[0],2(2)[2]
CNTN2,87(50)[590],2(2)[2],9(6)[30],0(0)[0],2(1)[4]
COA6,10(6)[17],2(0)[7],1(1)[1],2(2)[2],1(0)[2]
COG2,46(28)[102],3(2)[4],3(3)[3],1(1)[1],10(9)[14]
COL11A1,28(20)[69],3(2)[2],5(4)[6],0(0)[0],7(6)[8]
COL16A1,27(16)[123],13(9)[23],15(10)[22],0(0)[0],30(22)[1437]
COL24A1,221(150)[1274],26(19)[37],28(17)[48],0(0)[0],27(24)[30]
COL8A2,28(12)[243],8(6)[70],1(0)[1898],0(0)[0],1(1)[1]
COL9A2,46(22)[1115],3(1)[21],7(4)[3826],1(1)[1],4(4)[4]
COLGALT2,62(39)[433],5(5)[5],8(7)[10],0(0)[0],6(5)[7]
COPA,57(36)[148],3(2)[19],0(0)[0],0(0)[0],1(1)[1]
CORT,26(12)[87],3(2)[21],3(1)[8],0(0)[0],4(1)[14]
COX20,14(7)[76],5(2)[10],2(2)[2],0(0)[0],1(0)[8]
CPSF3L,61(45)[103],16(10)[50],8(6)[13],2(2)[2],10(6)[32]
CPT2,77(46)[3465],13(9)[28],10(7)[20],0(0)[0],1(1)[1]
CR1,220(121)[74073],9(6)[30],11(5)[528],0(0)[0],15(8)[67]
CR1L,61(36)[7829],12(8)[100],15(5)[46],2(0)[4],8(3)[39]
CR2,113(57)[33536],13(10)[23],15(8)[158],0(0)[0],10(8)[13]
CRABP2,12(9)[38],1(0)[5],3(2)[5],0(0)[0],1(1)[1]
CRB1,184(123)[707],8(8)[8],14(8)[28],1(1)[1],5(4)[6]
CRCT1,0(0)[0],0(0)[0],2(1)[8],0(0)[0],0(0)[0]
CREB3L4,46(20)[1413],3(2)[5],1(1)[1],0(0)[0],8(6)[10]
CREG1,19(8)[63],0(0)[0],3(1)[8],0(0)[0],0(0)[0]
CRNN,32(18)[140],6(4)[11],7(4)[16],0(0)[0],0(0)[0]
CROCC,64(37)[672],18(14)[44],29(18)[130],1(1)[1],10(7)[19]
CRP,18(12)[244],0(0)[0],4(2)[16],1(1)[1],2(2)[2]
CRTC2,78(46)[354],2(2)[2],1(1)[1],0(0)[0],1(1)[1]
CRYZ,26(17)[147],11(7)[61],8(5)[24],0(0)[0],11(4)[169]
CSDE1,26(19)[46],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
CSF1,40(23)[122],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
CSF3R,50(30)[2174],8(6)[17],11(10)[39],0(0)[0],6(5)[7]
CSMD2,358(203)[5495],0(0)[0],8(7)[9],1(1)[1],10(9)[12]
CSRP1,22(12)[45],1(1)[1],4(1)[8],3(2)[9],1(1)[1]
CTBS,24(12)[489],5(3)[12],8(8)[8],1(0)[0],3(3)[3]
CTH,38(33)[79],6(3)[17],3(2)[5],0(0)[0],8(6)[18]
CTNNBIP1,11(9)[162],1(1)[1],2(2)[2],0(0)[0],1(1)[1]
CTPS1,20(15)[33],1(1)[1],1(1)[1],0(0)[0],3(1)[15]
CTRC,39(19)[829],5(4)[9],3(2)[4],1(1)[1],6(4)[18]
CTSE,46(21)[350],6(3)[126],9(6)[12],1(0)[3],5(2)[90]
CTSK,29(22)[41],5(4)[7],6(4)[11],1(1)[1],2(2)[2]
CTSS,14(9)[26],0(0)[0],2(2)[2],0(0)[0],0(0)[0]
CTTNBP2NL,52(33)[103],5(5)[5],3(3)[3],0(0)[0],1(1)[1]
CYB561D1,18(9)[71],6(3)[10],5(4)[7],0(0)[0],0(0)[0]
CYB5R1,27(18)[66],5(5)[5],6(2)[14],0(0)[0],7(6)[8]
CYB5RL,41(24)[320],7(5)[30],4(2)[24],3(3)[3],4(2)[6]
CYP2J2,47(23)[271],7(3)[59],11(7)[27],0(0)[0],6(3)[15]
CYP4A11,62(35)[358],9(5)[15],11(7)[41],2(1)[3],11(7)[22]
CYP4A22,40(22)[15959],11(4)[892],8(5)[21],0(0)[0],8(4)[214]
CYP4B1,61(33)[21806],9(7)[17847],9(7)[49],3(1)[13],6(3)[40]
CYP4X1,27(16)[67],13(9)[19],6(2)[28],3(3)[3],6(4)[8]
CYP4Z1,49(22)[204],9(7)[18],9(5)[68],0(0)[0],3(1)[672]
CYR61,36(26)[927],1(1)[1],1(1)[1],0(0)[0],0(0)[0]
DAB1,34(23)[69],1(1)[1],1(1)[1],0(0)[0],2(0)[6]
DAP3,36(23)[300],7(6)[9],4(3)[8],0(0)[0],7(6)[13]
DARC,55(36)[1630],9(6)[14],5(5)[5],1(1)[1],1(0)[2]
DARS2,65(39)[137],6(4)[8],7(5)[11],1(0)[3],12(10)[49]
DBT,38(23)[96],7(5)[16],6(5)[16],3(2)[5],3(3)[3]
DCAF6,86(65)[184],0(0)[0],4(2)[10],0(0)[0],3(2)[5]
DCAF8,8(8)[8],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
DCDC2B,25(12)[1216],10(6)[1319],8(4)[192],1(1)[1],7(7)[7]
DCLRE1B,41(25)[87],11(10)[12],4(1)[15],0(0)[0],0(0)[0]
DCST1,59(31)[323],12(10)[33],15(13)[17],0(0)[0],10(7)[26]
DCST2,48(22)[246],9(5)[29],15(6)[84],0(0)[0],4(2)[19]
DDAH1,15(7)[202],1(1)[1],2(1)[3],1(1)[1],1(1)[1]
DDI2,15(10)[23],0(0)[0],2(2)[2],0(0)[0],0(0)[0]
DDOST,27(14)[207],2(2)[2],2(2)[2],2(2)[2],2(2)[2]
DDR2,68(41)[321],2(2)[2],2(2)[2],1(0)[3],2(2)[2]
DDX20,70(37)[1555],10(6)[26],12(8)[26],1(1)[1],1(0)[3]
DDX59,44(24)[277],6(5)[7],7(4)[43],2(1)[3],1(1)[1]
DEDD,25(19)[49],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
DEGS1,38(27)[217],2(2)[2],0(0)[0],0(0)[0],0(0)[0]
DENND1B,35(25)[55],3(3)[3],2(2)[2],0(0)[0],1(1)[1]
DENND2C,67(43)[1493],14(11)[17],8(4)[31],0(0)[0],10(5)[29]
DENND2D,20(10)[97],4(3)[5],6(4)[124],0(0)[0],6(6)[6]
DENND4B,69(40)[267],6(5)[8],3(2)[6],0(0)[0],2(2)[2]
DEPDC1,38(25)[74],10(6)[17],14(8)[29],0(0)[0],1(1)[1]
DESI2,4(2)[10],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
DFFA,25(9)[1768],7(3)[19],5(3)[11],1(1)[1],3(3)[3]
DFFB,30(18)[103],4(4)[4],6(3)[47],0(0)[0],2(1)[7]
DHCR24,26(17)[377],0(0)[0],1(0)[12],1(1)[1],1(1)[1]
DHDDS,31(17)[100],0(0)[0],3(3)[3],1(1)[1],0(0)[0]
DHRS3,16(5)[71],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
DHX9,26(22)[31],1(1)[1],1(1)[1],0(0)[0],2(1)[3]
DIEXF,87(45)[975],8(7)[9],6(2)[16],0(0)[0],1(0)[3]
DIO1,29(20)[491],1(1)[1],2(1)[14],2(2)[2],1(0)[3]
DIRAS3,17(11)[150],6(4)[8],2(1)[3],0(0)[0],0(0)[0]
DISC1,81(40)[15034],9(6)[14],9(5)[18],2(2)[2],2(2)[2]
DISP1,142(85)[610],18(15)[23],13(12)[14],1(0)[2],2(2)[2]
DLGAP3,60(43)[287],3(1)[159],0(0)[0],0(0)[0],0(0)[0]
DMAP1,40(24)[98],8(8)[8],3(3)[3],0(0)[0],1(1)[1]
DMBX1,57(28)[203],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
DMRTA2,15(9)[25],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
DMRTB1,26(13)[786],1(1)[1],1(1)[1],0(0)[0],0(0)[0]
DNAH14,12(6)[212],7(3)[30],10(5)[399],0(0)[0],6(2)[671]
DNAJB4,16(13)[35],4(4)[4],1(1)[1],0(0)[0],1(1)[1]
DNAJC11,31(15)[216],1(0)[5201],0(0)[0],1(1)[1],1(1)[1]
DNAJC16,80(45)[293],9(8)[24],11(9)[17],0(0)[0],2(2)[2]
DNAJC6,67(35)[202],2(2)[2],1(1)[1],0(0)[0],2(1)[3]
DNAJC8,7(6)[11],2(1)[3],1(1)[1],0(0)[0],2(2)[2]
DNALI1,30(17)[245],3(2)[4],10(4)[48],1(1)[1],3(2)[4]
DNASE2B,33(15)[2065],4(2)[13],16(8)[176],1(1)[1],2(1)[10]
DNM3,47(29)[116],4(3)[6],6(6)[6],1(0)[15],4(3)[6]
DNTTIP2,33(26)[146],16(9)[26],9(7)[15],0(0)[0],0(0)[0]
DOCK7,100(71)[1107],10(9)[11],11(10)[12],0(0)[0],10(9)[13]
DPH2,53(32)[195],9(9)[9],7(4)[15],3(3)[3],0(0)[0]
DPH5,25(16)[203],5(3)[8],3(2)[9],1(1)[1],4(3)[5]
DPM3,8(5)[16],1(1)[1],1(1)[1],2(2)[2],0(0)[0]
DPT,24(10)[164],3(2)[7],5(2)[20],0(0)[0],2(2)[2]
DPYD,151(81)[11638],14(10)[31],10(6)[28],1(1)[1],13(10)[653]
DR1,0(0)[0],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
DRAM2,23(16)[79],8(5)[13],4(3)[6],0(0)[0],2(2)[2]
DRAXIN,56(27)[1659],2(2)[2],7(5)[10],1(1)[1],6(2)[34]
DSTYK,75(48)[4384],4(3)[5],4(4)[4],0(0)[0],4(3)[32]
DTL,40(28)[68],4(3)[6],5(4)[6],3(3)[3],3(2)[5]
DUSP10,36(26)[65],2(2)[2],1(1)[1],0(0)[0],1(1)[1]
DUSP12,30(19)[346],4(3)[5],4(3)[5],0(0)[0],2(0)[4]
DUSP23,12(6)[93],2(2)[2],3(3)[3],0(0)[0],0(0)[0]
DUSP27,148(72)[2025],14(8)[119],20(12)[57],1(0)[2],3(3)[3]
DVL1,48(26)[155],4(4)[4],4(4)[4],1(1)[1],1(1)[1]
DYRK3,50(33)[103],10(5)[33],7(5)[11],1(1)[1],0(0)[0]
E2F2,19(9)[67],3(1)[6],1(1)[1],1(1)[1],0(0)[0]
EBNA1BP2,32(19)[1673],9(8)[76],9(5)[21],1(1)[1],3(1)[15]
ECE1,58(35)[221],5(2)[15],0(0)[0],1(0)[3],1(1)[1]
ECHDC2,38(15)[303],10(1)[240],9(0)[54],0(0)[0],4(3)[5]
ECM1,86(39)[1302],12(6)[35],7(4)[33],0(0)[0],9(5)[13]
EDARADD,13(7)[38],3(3)[3],1(1)[1],1(1)[1],2(1)[4]
EDEM3,61(40)[1308],7(7)[7],5(5)[5],1(1)[1],4(4)[4]
EDN2,23(9)[86],2(2)[2],4(2)[25],0(0)[0],0(0)[0]
EFCAB14,47(27)[461],6(5)[10],4(4)[4],0(0)[0],5(5)[5]
EFCAB2,13(5)[42],4(3)[6],3(2)[5],0(0)[0],2(0)[9]
EFCAB7,25(16)[1540],11(7)[29],12(8)[21],0(0)[0],10(6)[25]
EFHD2,15(6)[35],1(1)[1],2(1)[5],0(0)[0],1(1)[1]
EFNA1,16(8)[38],2(2)[2],0(0)[0],0(0)[0],0(0)[0]
EFNA3,14(10)[27],0(0)[0],1(1)[1],0(0)[0],1(0)[24]
EFNA4,17(8)[175],14(10)[25],8(6)[11],0(0)[0],1(1)[1]
EGLN1,5(4)[6],1(1)[1],1(0)[2],0(0)[0],0(0)[0]
EIF2B3,19(9)[162],3(1)[149],2(2)[2],0(0)[0],2(2)[2]
EIF2D,29(20)[66],6(5)[7],10(8)[14],0(0)[0],3(2)[5]
EIF3I,14(10)[22],1(1)[1],1(0)[10],0(0)[0],2(2)[2]
EIF4G3,122(85)[340],0(0)[0],1(1)[1],0(0)[0],3(2)[6]
ELAVL4,4(3)[5],0(0)[0],0(0)[0],2(1)[3],1(1)[1]
ELF3,16(11)[40],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
ELK4,37(24)[221],3(2)[69],3(3)[3],0(0)[0],2(2)[2]
ELOVL1,11(8)[22],0(0)[0],2(2)[2],0(0)[0],1(1)[1]
ELTD1,81(46)[32125],15(11)[29],7(5)[10],0(0)[0],6(4)[8]
EMC1,84(42)[218],13(10)[28],22(14)[44],1(1)[1],15(12)[18]
ENAH,3(3)[3],1(0)[2],2(2)[2],0(0)[0],0(0)[0]
ENO1,22(14)[52],6(4)[9],1(0)[4],0(0)[0],6(4)[9]
ENSA,5(2)[10],4(4)[4],2(1)[3],0(0)[0],2(2)[2]
EPB41,119(71)[1357],8(6)[11],6(3)[11],1(1)[1],5(3)[7]
EPHA10,136(80)[9291],16(7)[35],16(8)[55],1(1)[1],15(8)[26]
EPHA2,110(47)[1107],8(4)[16],5(4)[11],0(0)[0],1(0)[5]
EPHA8,173(96)[1435],9(8)[11],12(9)[34],0(0)[0],7(5)[9]
EPHB2,135(86)[1156],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
EPHX1,51(26)[38749],7(5)[26],9(6)[14],0(0)[0],3(1)[6]
EPHX4,17(10)[120],5(4)[17],2(1)[3],1(0)[5],3(3)[3]
EPRS,145(96)[585],8(7)[11],11(9)[16],0(0)[0],12(8)[36]
EPS15,51(34)[288],5(5)[5],4(4)[4],1(1)[1],4(4)[4]
EPS8L3,55(36)[220],8(4)[93],8(5)[24],0(0)[0],4(1)[8]
ERI3,6(5)[7],2(2)[2],2(2)[2],0(0)[0],2(2)[2]
ERMAP,39(22)[1014],7(5)[15],7(4)[19],2(2)[2],3(2)[5]
ERO1LB,43(28)[355],3(2)[4],8(5)[11],0(0)[0],4(4)[4]
ERRFI1,54(37)[436],3(2)[5],4(2)[15],0(0)[0],0(0)[0]
ESPN,99(41)[801],7(6)[9],2(2)[2],0(0)[0],6(3)[10]
ESRRG,23(17)[40],0(0)[0],2(2)[2],1(1)[1],1(1)[1]
ETNK2,21(14)[48],1(1)[1],4(3)[5],1(1)[1],2(2)[2]
ETV3,16(12)[26],1(1)[1],1(1)[1],0(0)[0],0(0)[0]
ETV3L,25(15)[1007],4(2)[32],7(5)[43],0(0)[0],2(1)[48]
EVA1B,17(12)[224],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
EVI5,57(34)[747],10(9)[47],10(4)[21],1(1)[1],6(2)[15]
EXO1,67(40)[756],11(8)[19],14(8)[58],1(1)[1],4(2)[222]
EXO5,43(28)[5219],14(9)[2955],5(2)[18],1(1)[1],0(0)[0]
EXOC8,20(15)[31],3(3)[3],1(1)[1],1(1)[1],0(0)[0]
EXOSC10,80(48)[238],3(2)[4],16(13)[21],2(0)[6],4(3)[5]
EXTL1,66(40)[651],11(9)[421],11(9)[115],1(1)[1],6(3)[20]
EXTL2,25(17)[44],3(3)[3],7(4)[11],1(0)[14],1(1)[1]
EYA3,24(17)[41],4(4)[4],1(1)[1],1(0)[2],2(2)[2]
F11R,25(16)[265],3(3)[3],3(3)[3],0(0)[0],6(5)[7]
F13B,68(47)[156],12(9)[25],7(7)[7],0(0)[0],5(5)[5]
F3,19(9)[222],2(2)[2],2(0)[4],0(0)[0],1(1)[1]
F5,186(118)[12171],22(15)[39],21(18)[24],1(0)[23],3(2)[4]
FAAH,46(31)[613],5(3)[21],4(3)[5],0(0)[0],10(8)[13]
FABP3,5(4)[7],5(2)[36],1(1)[1],2(2)[2],0(0)[0]
FAF1,17(11)[61],1(1)[1],2(2)[2],1(1)[1],1(0)[9]
FAIM3,21(9)[214],2(1)[3],7(5)[9],0(0)[0],1(1)[1]
FAM102B,26(14)[128],2(1)[5],2(1)[16],0(0)[0],3(1)[9]
FAM110D,12(8)[28],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
FAM129A,107(55)[456],28(18)[55],15(10)[103],0(0)[0],8(7)[23]
FAM131C,19(10)[419],3(2)[9],1(1)[1],0(0)[0],1(1)[1]
FAM132A,22(10)[94],4(1)[9],4(2)[54],0(0)[0],3(1)[5]
FAM151A,53(27)[315],17(11)[197],12(2)[217],0(0)[0],7(4)[87]
FAM159A,28(16)[274],3(2)[5],4(3)[63],0(0)[0],1(1)[1]
FAM163A,14(5)[1208],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
FAM167B,14(7)[1115],3(1)[20],3(2)[4],0(0)[0],1(1)[1]
FAM177B,9(6)[21],5(4)[15],7(3)[41],1(1)[1],1(1)[1]
FAM183A,9(5)[24],3(1)[81],2(0)[114],1(0)[4],1(0)[5]
FAM189B,100(49)[2487],7(2)[102],5(5)[5],0(0)[0],4(3)[33]
FAM19A3,24(12)[467],8(7)[33],5(1)[57],2(1)[19],1(1)[1]
FAM20B,32(25)[53],2(1)[3],2(2)[2],0(0)[0],2(2)[2]
FAM212B,38(21)[96],5(3)[12],5(2)[16],1(0)[3],2(0)[7]
FAM213B,15(12)[19],3(1)[53],8(7)[9],0(0)[0],1(1)[1]
FAM229A,1(1)[1],0(0)[0],0(0)[0],0(0)[0],1(0)[2]
FAM43B,14(10)[25],3(2)[4],2(2)[2],0(0)[0],0(0)[0]
FAM46B,67(39)[178],6(6)[6],3(0)[13],0(0)[0],0(0)[0]
FAM46C,35(20)[918],1(1)[1],1(1)[1],0(0)[0],0(0)[0]
FAM63A,45(25)[273],9(6)[32],10(6)[84],3(3)[3],1(1)[1]
FAM69A,5(3)[12],1(1)[1],1(1)[1],0(0)[0],2(2)[2]
FAM71A,42(28)[1774],16(11)[58],15(6)[772],0(0)[0],0(0)[0]
FAM72A,0(0)[0],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
FAM72B,2(0)[1408],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
FAM72D,1(0)[786],2(0)[6],0(0)[0],0(0)[0],0(0)[0]
FAM73A,47(24)[132],6(6)[6],9(6)[13],2(0)[50],3(1)[8]
FAM76A,17(12)[119],4(4)[4],5(3)[8],0(0)[0],1(1)[1]
FAM78B,21(10)[43],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
FAM89A,13(8)[202],3(1)[5],2(1)[6],0(0)[0],1(1)[1]
FASLG,21(15)[39],0(0)[0],2(1)[6],0(0)[0],0(0)[0]
FBLIM1,29(10)[221],3(3)[3],6(2)[35],0(0)[0],4(3)[6]
FBXO2,37(19)[22948],5(1)[8],2(2)[2],0(0)[0],0(0)[0]
FBXO28,13(5)[132],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
FBXO42,31(21)[52],1(1)[1],3(2)[5],0(0)[0],0(0)[0]
FBXO44,47(25)[124],3(2)[5],13(9)[53],1(1)[1],1(1)[1]
FBXO6,38(21)[121],9(6)[15],5(4)[8],0(0)[0],2(2)[2]
FCAMR,29(12)[267],7(3)[14],7(5)[13],1(0)[3],6(1)[22]
FCER1A,24(17)[800],5(4)[8],2(0)[7],0(0)[0],3(3)[3]
FCER1G,7(6)[16],0(0)[0],1(0)[2],0(0)[0],0(0)[0]
FCGR1A,4(2)[10],3(1)[27],0(0)[0],0(0)[0],0(0)[0]
FCGR1B,1(0)[515],4(3)[5],0(0)[0],0(0)[0],0(0)[0]
FCGR2A,15(12)[24],1(1)[1],4(2)[12530],0(0)[0],4(3)[8]
FCGR2B,15(11)[27],1(0)[2],1(1)[1],0(0)[0],2(2)[2]
FCGR3A,22(14)[6718],4(1)[9],7(4)[10],0(0)[0],1(1)[1]
FCGR3B,17(8)[538],2(1)[15],2(2)[2],2(0)[29],5(4)[6]
FCN3,32(16)[68],10(4)[2047],4(1)[12],0(0)[0],2(0)[228]
FCRL1,13(9)[64],2(2)[2],6(4)[69],0(0)[0],3(2)[4]
FCRL2,39(24)[1981],6(3)[139],7(3)[91],0(0)[0],2(1)[5]
FCRL3,95(49)[942],11(6)[45],17(9)[199],2(0)[44],11(4)[111]
FCRL4,30(21)[92],8(7)[9],8(3)[38],1(0)[4],6(3)[18]
FCRL5,88(52)[6614],8(4)[67],12(9)[60],0(0)[0],9(7)[15]
FCRL6,44(24)[1927],8(7)[9],15(8)[12334],1(1)[1],7(4)[14]
FCRLA,34(18)[251],5(3)[8],5(4)[8],1(1)[1],2(0)[5]
FCRLB,34(15)[40875],6(4)[620],11(9)[13],1(1)[1],2(1)[3]
FDPS,27(12)[703],4(3)[5],2(1)[3],1(1)[1],7(7)[7]
FGGY,91(51)[7096],12(8)[219],10(5)[22],2(1)[3],12(8)[402]
FGR,43(27)[139],2(2)[2],1(1)[1],0(0)[0],4(4)[4]
FH,36(23)[115],4(4)[4],3(3)[3],1(1)[1],1(1)[1]
FHL3,24(12)[412],3(3)[3],2(2)[2],0(0)[0],0(0)[0]
FLAD1,58(33)[315],11(9)[24],5(3)[15],1(0)[57],1(1)[1]
FLG,487(225)[165403],101(62)[2013],149(78)[2577],1(1)[1],2(1)[3]
FLG2,51(34)[5820],30(17)[320],60(38)[28307],0(0)[0],0(0)[0]
FLVCR1,42(28)[76],9(8)[13],5(4)[8],0(0)[0],4(3)[5]
FMN2,53(39)[107],18(12)[271],2(2)[2],2(1)[4],5(3)[15]
FMO1,49(30)[144],4(3)[8],12(9)[209],2(2)[2],3(3)[3]
FMO2,61(28)[69953],16(11)[7397],7(2)[220],0(0)[0],2(2)[2]
FMO3,81(47)[465],16(7)[66],9(5)[56],1(1)[1],5(4)[6]
FMO4,55(28)[304],11(6)[52],11(5)[32],1(0)[3],4(3)[6]
FMO5,61(34)[326],15(12)[25],13(6)[63],1(1)[1],9(5)[39]
FMOD,42(20)[519],1(1)[1],3(2)[4],0(0)[0],0(0)[0]
FNBP1L,14(13)[15],3(3)[3],2(2)[2],0(0)[0],0(0)[0]
FNDC7,78(46)[1787],14(7)[155],7(4)[195],1(1)[1],4(4)[4]
FOXD2,7(6)[9],3(3)[3],1(1)[1],0(0)[0],0(0)[0]
FOXD3,10(9)[41],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
FOXE3,28(15)[128],0(0)[0],2(1)[3],0(0)[0],0(0)[0]
FOXJ3,32(26)[92],0(0)[0],1(1)[1],0(0)[0],2(1)[3]
FRRS1,59(31)[201],8(7)[10],13(10)[62],0(0)[0],4(3)[7]
FUBP1,26(19)[37],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
FUCA1,37(22)[528],4(3)[5],13(10)[16],0(0)[0],0(0)[0]
G0S2,4(2)[6],0(0)[0],1(0)[2],1(1)[1],0(0)[0]
GABPB2,36(24)[97],7(6)[10],8(4)[28],0(0)[0],0(0)[0]
GABRD,51(34)[102],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
GADD45A,7(6)[8],1(1)[1],1(1)[1],0(0)[0],1(1)[1]
GALE,42(20)[134],5(5)[5],6(5)[7],1(1)[1],6(5)[7]
GALNT2,45(36)[64],4(4)[4],5(3)[8],0(0)[0],2(2)[2]
GATAD2B,27(20)[56],0(0)[0],1(1)[1],0(0)[0],1(1)[1]
GBA,18(15)[23],8(5)[15],3(3)[3],1(0)[5],3(3)[3]
GBP1,54(36)[6330],16(9)[43],10(6)[79],0(0)[0],10(8)[48]
GBP2,46(33)[338],8(8)[8],7(5)[13],1(1)[1],5(4)[12]
GBP3,50(32)[50773],9(4)[2651],17(8)[220],0(0)[0],9(7)[136]
GBP4,43(27)[986],19(8)[111],8(6)[19],2(2)[2],8(5)[428]
GBP5,55(33)[243],12(6)[1019],7(3)[28],2(1)[3],5(1)[13]
GBP6,46(28)[1468],12(6)[35],14(10)[22],2(2)[2],3(3)[3]
GBP7,53(32)[1027],15(6)[353],10(6)[128],1(1)[1],9(3)[232]
GCLM,10(8)[14],1(1)[1],2(2)[2],0(0)[0],0(0)[0]
GCSAML,5(2)[72],1(0)[2],3(2)[4],1(0)[2],1(0)[5999]
GDAP2,50(33)[105],4(3)[75],6(4)[17],0(0)[0],4(4)[4]
GFI1,13(8)[170],1(1)[1],3(2)[4],0(0)[0],1(1)[1]
GGPS1,15(14)[19],8(7)[9],1(1)[1],3(2)[4],0(0)[0]
GIPC2,32(16)[100],7(5)[20],8(3)[24],0(0)[0],3(2)[4]
GJA4,21(12)[72],5(4)[12],2(0)[5],0(0)[0],0(0)[0]
GJA5,21(15)[127],4(3)[5],3(3)[3],1(0)[2],0(0)[0]
GJA8,36(21)[412],3(2)[5],7(5)[13],0(0)[0],0(0)[0]
GJA9,48(29)[301],14(9)[26],9(4)[19],1(1)[1],0(0)[0]
GJB3,55(33)[3345],6(3)[18],5(0)[25],0(0)[0],0(0)[0]
GJB4,67(22)[11956],7(4)[4682],9(3)[639],0(0)[0],0(0)[0]
GJB5,43(20)[570],8(6)[14],6(3)[13],1(1)[1],0(0)[0]
GJC2,24(18)[40],1(1)[1],1(1)[1],0(0)[0],0(0)[0]
GLIS1,37(24)[504],0(0)[0],3(2)[5],0(0)[0],1(0)[11]
GLMN,33(19)[170],17(10)[37],7(7)[7],0(0)[0],6(6)[6]
GLRX2,8(6)[14],1(1)[1],2(1)[4],3(1)[786],5(3)[5]
