Gene,ExAC No. PP2>.95 Missense,ExAC No.Frameshift,ExAC No.StopGain,ExAC No.StartLost,ExAC No.SpliceSite
C1orf227,0(0)[0],2(1)[4],2(1)[1052],0(0)[0],0(0)[0]
C1orf228,13(7)[255],1(0)[5],4(4)[4],0(0)[0],3(2)[5]
C1orf229,3(1)[15],2(1)[3],0(0)[0],0(0)[0],0(0)[0]
C1orf233,2(1)[7],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
C1orf234,0(0)[0],1(1)[1],1(1)[1],0(0)[0],0(0)[0]
C1orf27,23(13)[1982],4(4)[4],6(6)[6],0(0)[0],6(4)[8]
C1orf35,18(11)[903],10(9)[11],0(0)[0],0(0)[0],3(3)[3]
C1orf43,15(9)[52],3(2)[4],1(1)[1],1(1)[1],3(1)[5]
C1orf50,20(13)[277],6(3)[35],3(1)[15],1(0)[23],1(1)[1]
C1orf51,24(17)[41],5(2)[9],1(1)[1],2(0)[4],0(0)[0]
C1orf52,31(19)[52],1(0)[2],1(1)[1],1(1)[1],0(0)[0]
C1orf53,12(10)[352],4(3)[17],3(0)[16],0(0)[0],0(0)[0]
C1orf54,7(3)[22],3(3)[3],0(0)[0],0(0)[0],2(2)[2]
C1orf56,36(26)[56],8(6)[296],3(2)[4],1(1)[1],2(2)[2]
C1orf61,4(2)[6],3(1)[6],2(1)[17],0(0)[0],2(2)[2]
C1orf63,25(14)[5149],10(6)[35],9(4)[41],1(1)[1],3(2)[4]
C1orf64,17(7)[49],2(2)[2],2(1)[9],1(0)[2],1(1)[1]
C1orf65,32(23)[3175],11(10)[12],15(10)[21],0(0)[0],0(0)[0]
C1orf68,8(4)[23],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
C1orf74,13(6)[72],3(3)[3],1(1)[1],0(0)[0],0(0)[0]
C1orf85,39(21)[227],6(2)[13],6(1)[17],0(0)[0],6(4)[8]
C1orf86,5(3)[7],4(3)[5],1(1)[1],0(0)[0],0(0)[0]
C1orf87,23(14)[512],10(5)[17],12(6)[184],3(2)[5],12(8)[33]
C1orf94,40(20)[985],9(7)[51],3(1)[18],0(0)[0],3(2)[4]
C1orf95,4(3)[5],0(0)[0],1(1)[1],0(0)[0],1(1)[1]
C2CD4D,4(2)[11],0(0)[0],0(0)[0],0(0)[0],0(0)[0]
C4BPA,34(24)[507],3(3)[3],5(3)[7],0(0)[0],3(2)[4]
C4BPB,5(5)[5],5(3)[10],3(1)[12],2(1)[4],8(6)[10]
C8A,76(41)[2027],9(6)[12],12(6)[26],0(0)[0],6(1)[13]
C8B,61(34)[6310],10(9)[12],15(8)[171],0(0)[0],3(2)[4]
CA14,30(18)[78],15(8)[31],7(6)[9],0(0)[0],8(5)[27]
CA6,40(23)[55721],3(2)[4],5(3)[8],0(0)[0],0(0)[0]
CACHD1,78(40)[882],6(6)[6],7(5)[10],0(0)[0],2(2)[2]
CACNA1E,103(58)[611],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
CACNA1S,296(158)[21919],14(8)[230],11(8)[28],1(1)[1],14(12)[26]
CACYBP,9(5)[15],0(0)[0],0(0)[0],1(0)[2],0(0)[0]
CADM3,38(27)[90],0(0)[0],1(1)[1],0(0)[0],0(0)[0]
CALML6,23(11)[343],2(2)[2],2(1)[4],0(0)[0],5(4)[6]
CAMK1G,24(17)[48],2(1)[3],2(2)[2],2(1)[5],3(3)[3]
CAMK2N1,2(1)[4],0(0)[0],0(0)[0],0(0)[0],1(1)[1]
CAMSAP2,62(40)[172],3(3)[3],1(1)[1],0(0)[0],3(3)[3]
CAMTA1,93(55)[217],0(0)[0],1(1)[1],1(0)[2],0(0)[0]
CAP1,10(5)[35],0(0)[0],2(2)[2],0(0)[0],3(3)[3]
CAPN2,90(48)[612],16(13)[47],8(5)[12],0(0)[0],15(8)[34]
CAPN9,124(61)[5237],13(9)[75],9(5)[16],0(0)[0],16(8)[1765]
CAPZA1,10(4)[26],1(1)[1],0(0)[0],0(0)[0],0(0)[0]
CAPZB,9(8)[10],0(0)[0],1(1)[1],0(0)[0],1(1)[1]
CASP9,54(30)[324],7(5)[10],5(2)[14],1(0)[2],1(1)[1]
CASQ1,48(20)[1751],7(6)[8],8(4)[20],2(0)[33],8(7)[124]
CASQ2,43(27)[224],5(4)[10],6(3)[9],0(0)[0],5(4)[8]
CASZ1,214(124)[917],2(2)[2],1(1)[1],0(0)[0],1(1)[1]
CATSPER4,42(22)[213],5(3)[8],10(7)[31],0(0)[0],0(0)[0]
CC2D1B,96(53)[527],19(15)[25],13(4)[36],2(1)[12],9(7)[14]
CCBL2,73(42)[506],4(3)[5],7(3)[21],2(0)[6],7(5)[38]
CCDC17,41(17)[580],19(12)[33],14(8)[48],0(0)[0],9(8)[28]
CCDC181,38(23)[241],12(8)[33],13(4)[32],0(0)[0],0(0)[0]
CCDC19,69(25)[3245],4(3)[5],15(8)[43],1(1)[1],4(3)[5]
CCDC23,0(0)[0],1(1)[1],1(1)[1],0(0)[0],0(0)[0]
CCDC24,26(12)[5211],7(2)[17],10(7)[18],1(0)[3],5(4)[6]
CCDC27,35(17)[1261],13(8)[222],20(11)[92],0(0)[0],7(3)[14]
